number,title,assent_date,key_changes,bill_file,act_file,bill_url,act_url,zip_file,status
01,"The Constitution (First Amendment) Act, 1951",1951-06-18,"Amended Articles 15, 19, 85, 87, 174, 176, 341, 342, 372 and 376; inserted Articles 31A and 31B and the Ninth Schedule; secured zamindari abolition laws against constitutional challenge, added special provisions for SCs/STs and backward classes, and placed reasonable restrictions on freedom of speech.",AMENDMENT_01_BILL.pdf,AMENDMENT_01_ACT.pdf,https://web.archive.org/web/20240618004242id_/https://eparlib.nic.in/bitstream/123456789/58338/1/jcb_1951_constitution_1st_amendment_bill.pdf,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030234-2.pdf,AMENDMENT_01_18061951.zip,OK
02,"The Constitution (Second Amendment) Act, 1952",1953-05-01,"Amended Article 81(1)(b) to remove the upper limit of 750,000 people, allowing a single member to represent a larger population in a parliamentary constituency.",AMENDMENT_02_BILL.pdf,AMENDMENT_02_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/54_1952_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030280-1.pdf,AMENDMENT_02_01051953.zip,OK
03,"The Constitution (Third Amendment) Act, 1954",1955-02-22,"Re-enacted entry 33 of the Concurrent List (Seventh Schedule) to include trade and commerce in, and the production, supply and distribution of, four classes of essential commodities: foodstuffs, cattle fodder, raw cotton and raw jute.",AMENDMENT_03_BILL.pdf,AMENDMENT_03_ACT.pdf,https://web.archive.org/web/20240701235007id_/https://eparlib.nic.in/bitstream/123456789/58262/1/jcb_01_1954_constitution_3rd_amendment_bill.pdf,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030293-1.pdf,AMENDMENT_03_22021955.zip,OK
04,"The Constitution (Fourth Amendment) Act, 1955",1955-04-27,"Amended Articles 31, 31A and 305 and the Ninth Schedule: dealt with property rights and the state's power of acquisition, fixed limits on agricultural land holdings, and gave the state full control over mineral and oil resources.",AMENDMENT_04_BILL.pdf,AMENDMENT_04_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/64_1954_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030215-1.pdf,AMENDMENT_04_27041955.zip,OK
05,"The Constitution (Fifth Amendment) Act, 1955",1955-12-24,"Amended Article 3 to empower the President to prescribe a time limit for a State Legislature to convey its views on proposed Central laws relating to the formation of new States and alteration of areas, boundaries or names of existing States.",AMENDMENT_05_BILL.pdf,AMENDMENT_05_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/60_1955_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030282-1.pdf,AMENDMENT_05_24121955.zip,OK
06,"The Constitution (Sixth Amendment) Act, 1956",1956-09-11,Amended Articles 269 and 286 and the Union and State Lists (Seventh Schedule) with respect to raising of taxes.,AMENDMENT_06_BILL.pdf,AMENDMENT_06_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/35_1956_Eng_LS.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030213-1.pdf,AMENDMENT_06_11091956.zip,OK
07,"The Constitution (Seventh Amendment) Act, 1956",1956-10-19,"Reorganisation of states on linguistic lines, abolition of Class A, B, C and D states and introduction of Union territories: amended Articles 1, 3, 49, 80, 81, 82, 131, 153, 158, 168, 170, 171, 216, 217, 220, 222, 224, 230, 231, 232 and Schedules 1, 2, 4, 7; inserted Articles 258A, 290A, 298, 350A, 350B, 371, 372A, 378A.",AMENDMENT_07_BILL.pdf,AMENDMENT_07_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/29_1956_Eng_LS.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030239-1.pdf,AMENDMENT_07_01111956.zip,OK
08,"The Constitution (Eighth Amendment) Act, 1959",1960-01-05,"Amended Article 334 to extend reservation of seats for SCs, STs and Anglo-Indians in the Lok Sabha and State Legislative Assemblies till 1970.",AMENDMENT_08_BILL.pdf,AMENDMENT_08_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/79_1959_LS_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030219-2.pdf,AMENDMENT_08_05011960.zip,OK
09,"The Constitution (Ninth Amendment) Act, 1960",1960-12-28,Amended the First Schedule for minor adjustments to the territory of the Indian Union consequent to the agreement with Pakistan for settlement of disputes by demarcation of border villages.,AMENDMENT_09_BILL.pdf,AMENDMENT_09_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/90_1960_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030287-3.pdf,AMENDMENT_09_28121960.zip,OK
10,"The Constitution (Tenth Amendment) Act, 1961",1961-08-16,"Amended Article 240 and the First Schedule to incorporate Dadra and Nagar Haveli as a Union Territory, consequent to acquisition from Portugal.",AMENDMENT_10_BILL.pdf,AMENDMENT_10_ACT.pdf,https://sansad.in/getFile/BillsTexts/LSBillTexts/Asintroduced/43_1961_LS_Eng.pdf?source=legislation,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030245.pdf,AMENDMENT_10_11081961.zip,OK
