number,zip_file,bill_file,act_file,bill_url,act_url,status
01,AMENDMENT_01_18061951.zip,MISSING,AMENDMENT_01_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030234-2.pdf,MISSING_BILL
02,AMENDMENT_02_01051953.zip,MISSING,AMENDMENT_02_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030280-1.pdf,MISSING_BILL
03,AMENDMENT_03_22021955.zip,AMENDMENT_03_BILL.pdf,AMENDMENT_03_ACT.pdf,https://web.archive.org/web/20240701235007id_/https://eparlib.nic.in/bitstream/123456789/58262/1/jcb_01_1954_constitution_3rd_amendment_bill.pdf,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030293-1.pdf,OK
04,AMENDMENT_04_27041955.zip,MISSING,AMENDMENT_04_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030215-1.pdf,MISSING_BILL
05,AMENDMENT_05_24121955.zip,MISSING,AMENDMENT_05_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030282-1.pdf,MISSING_BILL
06,AMENDMENT_06_11091956.zip,MISSING,AMENDMENT_06_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030213-1.pdf,MISSING_BILL
07,AMENDMENT_07_01111956.zip,MISSING,AMENDMENT_07_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030239-1.pdf,MISSING_BILL
08,AMENDMENT_08_05011960.zip,MISSING,AMENDMENT_08_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030219-2.pdf,MISSING_BILL
09,AMENDMENT_09_28121960.zip,MISSING,AMENDMENT_09_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030287-3.pdf,MISSING_BILL
10,AMENDMENT_10_11081961.zip,MISSING,AMENDMENT_10_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030245.pdf,MISSING_BILL
11,AMENDMENT_11_19121961.zip,MISSING,AMENDMENT_11_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030288-2.pdf,MISSING_BILL
12,AMENDMENT_12_20121961.zip,MISSING,AMENDMENT_12_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030274-1.pdf,MISSING_BILL
13,AMENDMENT_13_01121963.zip,MISSING,AMENDMENT_13_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030265.pdf,MISSING_BILL
14,AMENDMENT_14_28121962.zip,MISSING,AMENDMENT_14_ACT.pdf,MISSING,https://cdnbbsr.s3waas.gov.in/s380537a945c7aaa788ccfcdf1b99b5d8f/uploads/2023/03/2023030241.pdf,MISSING_BILL
